# x^^y == y
# x^^^Infinity == y
# x == HyperRoot[5][Infinity][y]
# x == SuperRoot[y][y]
# SuperLog[x][y] == y
0x1.38p+7,0x0,0x1.71f14210e63bap+0,0x0, exact
0x1.3ap+7,0x0,0x1.71f0e9e94d5d4p+0,0x0, exact
0x1.3cp+7,0x0,0x1.71f09366b65e7p+0,0x0, exact
0x1.3ep+7,0x0,0x1.71f03e7eb9d03p+0,0x0, exact
0x1.40p+7,0x0,0x1.71efeb274202bp+0,0x0, exact
0x1.42p+7,0x0,0x1.71ef995688074p+0,0x0, exact
0x1.44p+7,0x0,0x1.71ef490310d31p+0,0x0, exact
0x1.46p+7,0x0,0x1.71eefa23aa80fp+0,0x0, exact
0x1.48p+7,0x0,0x1.71eeacaf69b01p+0,0x0, exact
0x1.4ap+7,0x0,0x1.71ee609da6fefp+0,0x0, exact
0x1.4cp+7,0x0,0x1.71ee15e5fca1ap+0,0x0, exact
0x1.4ep+7,0x0,0x1.71edcc8044107p+0,0x0, exact
0x1.50p+7,0x0,0x1.71ed846493cfbp+0,0x0, exact
0x1.52p+7,0x0,0x1.71ed3d8b3d4e7p+0,0x0, exact
0x1.54p+7,0x0,0x1.71ecf7eccadafp+0,0x0, exact
0x1.56p+7,0x0,0x1.71ecb381fdac9p+0,0x0, exact
0x1.58p+7,0x0,0x1.71ec7043cc017p+0,0x0, exact
0x1.5ap+7,0x0,0x1.71ec2e2b5f4ffp+0,0x0, exact
0x1.5cp+7,0x0,0x1.71ebed3212898p+0,0x0, exact
0x1.5ep+7,0x0,0x1.71ebad51706fcp+0,0x0, exact
0x1.60p+7,0x0,0x1.71eb6e8331fa1p+0,0x0, exact
0x1.62p+7,0x0,0x1.71eb30c13ccb0p+0,0x0, exact
0x1.64p+7,0x0,0x1.71eaf405a1b4fp+0,0x0, exact
0x1.66p+7,0x0,0x1.71eab84a9b4dcp+0,0x0, exact
0x1.68p+7,0x0,0x1.71ea7d8a8c8fep+0,0x0, exact
0x1.6ap+7,0x0,0x1.71ea43bfff890p+0,0x0, exact
0x1.6cp+7,0x0,0x1.71ea0ae5a4158p+0,0x0, exact
0x1.6ep+7,0x0,0x1.71e9d2f64ea83p+0,0x0, exact
0x1.70p+7,0x0,0x1.71e99becf71d8p+0,0x0, exact
0x1.72p+7,0x0,0x1.71e965c4b79a1p+0,0x0, exact
0x1.74p+7,0x0,0x1.71e93078cb742p+0,0x0, exact
0x1.76p+7,0x0,0x1.71e8fc048e26cp+0,0x0, exact
0x1.78p+7,0x0,0x1.71e8c8637a4f9p+0,0x0, exact
0x1.7ap+7,0x0,0x1.71e8959128b54p+0,0x0, exact
