0x1.661785111278f7509fbaa2d7df05p+1929,0x1.44f0e3d297b85914c801c1ce5f58p+1932
-0x1.5d8c8970e7c7bc0b6d0d1462e5e2p+1941,-0x1.092f168b575a4ae1e9edb3b30abdp+1941
0x1.23f1343183f0a1b4d97397e9a20ep+1951,-0x1.3f5608c2b9f1a2172d0c8cbf31bdp+1948
-0x1.e10130f03668f1fcf3b0dcfd8abep+1959,0x1.3c5c57b0dff79537c539855f9e8bp+1960
-0x1.21824b7a6f638b364ccb97070f8ep+1967,-0x1.0aa206b7caab748ef5d3956a4e48p+1970
0x1.230b5fc837de3975d7b6219ed950p+1979,0x1.bb694efc3e01a082f86f654ce448p+1978
-0x1.ef0670b6d7b77deddfb22877f8c0p+1988,0x1.0acb9fa0a403e901e3f013440e0cp+1986
0x1.9f6cd0dddf848b3f6d7e548d4ac5p+1997,-0x1.1021f95b88442d7776e268749d07p+1998
0x1.f3c4f749b765ab71821d892e09e8p+2004,0x1.d300ff2afd5589e2b07c19bbda91p+2007
-0x1.0293c6b629da3d42c74d74c44162p+2017,-0x1.8b80fa68ea2e15f7397ca0d3d651p+2016
0x1.bfae0362346c95ca13de9791f909p+2026,-0x1.dbaf651ca722e5b01755ad450b81p+2023
-0x1.7e953311c7314170aa6ee63c8d67p+2035,0x1.f34d0301a274cb8873683d960e35p+2035
