0x1.22ed6e2eba7cd994b40b606350dcp+755,-0x1.3df046da726d04b53043c6d1d9f4p+755
0x1.feecd87f014a71b7bafdb32d898ep+761,0x1.fb1d0badd310b6976b00aab74f2cp+762
-0x1.76fea395e81427f8ee3d2dd1dac3p+770,0x1.37d07fd425027c6ab3cb28078444p+767
0x1.02f1626350d208a2a737f63d9ee2p+776,-0x1.e7a64b5c901409bd10e50f42ae09p+777
0x1.1460d97558fa7c9e2a80030edad8p+785,0x1.8cc99063ec16d8067ad246d7c5bfp+784
-0x1.816a855416fc1f29eebd3b4a033ap+792,0x1.feaf7da7b9293d2e1055d85f0eb7p+791
-0x1.16d1e1e4bd842325a3f954413c10p+798,-0x1.34c0c63c6b86a8ede676b4cb8f25p+800
0x1.b0570f40469bbb9d9e5515255821p+807,0x1.eb13a3bda958f1eef9eaa10b1f70p+804
-0x1.252df54c5c65ee21b54a98f411eep+814,0x1.09b932dd041e16f60af41ad2873ep+815
-0x1.12ed36cda457021226aa93933becp+822,-0x1.4407ea9cc11ab4a8827d1c2f7f27p+822
0x1.1a81e2bbb345cedb331e43d19b93p+830,-0x1.9064bf7f4bb9de5f5a8dee44b6f7p+828
-0x1.33697a62f4bf6aec9caebc0cf022p+832,0x1.a9c55871f8fd7e86584aca4e6ce5p+837
-0x1.1a64582ee17f9a7cc90c19af7178p+845,-0x1.ca905b3661ff82c3d0f93fe765cdp+843
0x1.2b13616357fe506a4351b1add8e7p+852,-0x1.41dd30a05b95950d8d990e9fe02ep+852
0x1.1aa3fdac49614851cf1a8b574f31p+859,0x1.1df3d9b1e62bd90442c9b5be4ae7p+860
-0x1.d0466322c73327a699b12e598281p+867,0x1.656380bf2f483129190c0078441dp+864
0x1.6aa3039cbe73751118144a7f0ddbp+873,-0x1.4b3ec7ecbe832e5ce2fc684c663bp+875
0x1.9b72d1cbd339207f2dc62e2e37dep+882,0x1.2c22c33a2dc2f3a1747d2811731ep+882
-0x1.3e96c45ed2caf03fe80b38c87dadp+890,0x1.9f2e28c8a23047a58e7232d535dfp+889
-0x1.e6a13e1687047e6307facad6c85bp+895,-0x1.1754cb5e5742cb13f74067d35918p+898
0x1.ac0819a338df02930e7a8cd92214p+905,0x1.00697c4d2570e5d8b716891d25b7p+903
-0x1.430e999d41af6f174cc24d145fbfp+912,0x1.1f9a88e2a6e7949b7a596b07caffp+913
-0x1.448dabf56dedb04155dbd31454bap+920,-0x1.8479b61f6c10ceb3cd681e211bb9p+920
0x1.7190c97bf8258d5f7df477a7b134p+928,-0x1.ff28c5a2e9ee4420c2ea022e8182p+926
-0x1.2571072b0cb7fd8297acbfcca7b9p+931,0x1.2ff2e7c01e5e64040c4a00339d83p+936
-0x1.b7bfbec33defc4a078733975521ep+943,-0x1.6cda204dbab6e9ba8ae9dcffcb0bp+942
0x1.0170ee4fb36392a62c87683eab0dp+951,-0x1.10df3e5fb75a1a82270670a589aep+951
0x1.039a41799cf3c896c8585ec48c4ep+958,0x1.0bbde5a668f0a5bc2272daa5e901p+959
-0x1.d9382532602f30554e5fc9fa6eeap+966,0x1.4f4f004946ad4b32dc156d597aa9p+963
0x1.9e37b4b87304c99ff262423c4ebap+972,-0x1.6f658f3f239595c045564e72374bp+974
0x1.eff9ac4b29e3c86ed057fcf9ace2p+981,0x1.6f961776e49d80e7a6045f69ba9dp+981
-0x1.a6fefbd6c6e09a558accf47d98a4p+989,0x1.0f140c74f49dd4f7ed6aa728181bp+989
-0x1.520347eb1eac4cd03963357c8e3ep+995,-0x1.92b083432e3799ac642ae26e2e17p+997
0x1.4ef9d15282c3aa3d10b7e916c7cfp+1005,0x1.a618b64c123e3811869aadaff988p+1002
-0x1.17212630038d32c0713d918496a3p+1012,0x1.e84dc59e2e5b88e8f26f5b95c0c2p+1012
-0x1.2a31d77aaa1345e426eeff2279fep+1020,-0x1.6a7627b89a8c6e647cf548e5ee8ap+1020
0x1.756c8b54ed743d49320a020d35d4p+1028,-0x1.f7e315f69c22935a25e9cd632d80p+1026
-0x1.91bf9e21e1be213b6fb10f39fc16p+1031,0x1.4cb4e5919f18f382d70a08ee6c6bp+1036
-0x1.04924a63014eafe6cee0383fbc98p+1044,-0x1.b9a3d6c48633a95423fdd92064aap+1042
0x1.4ecca50db45abc6d2c86e100365fp+1051,-0x1.5d8aaf316be39511339357ef6b51p+1051
0x1.65a3f8df8dde05e7ab97539b323ep+1058,0x1.780ed34484461cde2eaab20f8b2dp+1059
-0x1.6738d2b0a2aae9b40921e92813c3p+1067,0x1.d1643fb727da7a012c6a2c3c605fp+1063
0x1.5d9afe6bc7db2a047974613eae08p+1073,-0x1.2d5d60e110a4b98850cc4075f96ap+1075
0x1.b719f7a5d632f0963237b404d064p+1082,0x1.4a97bbc91221acb778e274b585c4p+1082
-0x1.99a64d35d0a3b606ddc39fd9c1d7p+1090,0x1.0230d74e2ba02ff71297bf34aac4p+1090
-0x1.53d6f8d4f0fd2353491c7416dcb4p+1096,-0x1.a49b625f1a815e70468d8bf18b8dp+1098
0x1.795a67c0d994737657a1e8452577p+1106,0x1.f2d2c2994688edaf5c54f107c7f7p+1103
-0x1.58cc353db8a66ae0517366d9465dp+1113,0x1.2863b7cdd5ee43c665c4986942a2p+1114
-0x1.853b6ce193dedd7aa317c98900b7p+1121,-0x1.e071ba4c5aec183628ae173d0f76p+1121
0x1.0a5118917be84aa103289ab61322p+1130,-0x1.5e74896dec3cf7f2d8025eae59a4p+1128
-0x1.72031546a40b1a4a66a5c93ce869p+1133,0x1.fed925ae7dbc849b94d530f7cb5ap+1137
-0x1.ae74a89f2934d10de59d1af611d5p+1145,-0x1.7472979105b905eb17dd064cc69cp+1144
0x1.2d90415d7a1365a18129fecd2ca3p+1153,-0x1.36243cba53a5b70945256333d4d8p+1153
0x1.5323e38d86d01b02972119f92ea2p+1160,0x1.6ba028132c4c85b5a7f25183fde5p+1161
-0x1.75332061a5a5c1a4b873e7e5d6d0p+1169,0x1.b660309a85f5b566cd27adc39d5ep+1165
0x1.911e92a14e597231551244a49c29p+1175,-0x1.504ef7f591a3fc6062057b49cb56p+1177
0x1.06e19c62bf63fb43b00db188e087p+1185,0x1.920f092ebd87b1ef05e0f97b57f9p+1184
-0x1.0ab498df2ec83f69fca2f5481862p+1193,0x1.4aa050327c07ff7db025dd3e1441p+1192
-0x1.c8362c6b13eab3541784f3ec082fp+1198,-0x1.25a7ab2136cb77539b1e987b9a6dp+1201
0x1.1a885102685936bb6e6aeb1489f8p+1209,0x1.86eba107cdb990e709f08f5409acp+1206
-0x1.196da7e28b5b168f3e580dd0d1c7p+1216,0x1.db975605f0631bcbe3d2d5622fe3p+1216
-0x1.4de6901dcad792d380466e436ddbp+1224,-0x1.a285f99d68492f5743302fc20f3cp+1224
0x1.f091d325812de612155772b7f6a8p+1232,-0x1.3e7f1a4eaee9fe12d502a2f05189p+1231
-0x1.ae9df2dc391ba3fae806a3d9e767p+1236,0x1.fde88913d953ab729981dea2bde8p+1240
-0x1.cbcb681e78cff231785b25c9a2c8p+1248,-0x1.9609d924185039841c20767b47b5p+1247
0x1.5d5f49ac86a77470899c29d57494p+1256,-0x1.61f7751d2037d7b13cde8486b9fdp+1256
0x1.9b6d5c486e3f85a69422a9f4d3cdp+1263,0x1.c1e58519fdbc24a4d4284bed945cp+1264
-0x1.ed8c2c7878f127d86b3f14979423p+1272,0x1.042aef0ecdb9a780feaf8929e61ep+1269
0x1.233555120a6343236c64526c3885p+1279,-0x1.db4ac210b513072eaf9cfe36efc0p+1280
0x1.8c97dd5d6a5d718635ec6c810435p+1288,0x1.3402e1ab58d31dd20222e645dd5dp+1288
-0x1.b35bab40ab1d9af24da5a72b4a84p+1296,0x1.095cb3c8a342d03a7b2464ba973bp+1296
-0x1.7d77316668966e8314df74c9c875p+1302,-0x1.ff7fc31e6792b5c53bc8777a1952p+1304
0x1.0695ef42402f1681a99e54536618p+1313,0x1.7b85757f39e1edb3736150e3e872p+1310
-0x1.1bb1b04fe5a75cea4a7ebef948a4p+1320,0x1.d758072863b94c41114a9a411972p+1320
-0x1.601b02d65bb72c388b8783ac674dp+1328,-0x1.c02c46ec6ca6c6672e308f32ee24p+1328
0x1.1b3403eb2b9984ce642590e1e5d1p+1337,-0x1.61f9a57e96229c74050073f19975p+1335
-0x1.2adf2d2a32c6f59b16dd56c00801p+1341,0x1.35e55d2557e62c1eee169698d9f9p+1345
-0x1.29a46244eb56d3036d31330ab2d6p+1353,-0x1.0c2cdbc952b7f6c986e1bf5acd22p+1352
0x1.e84bbf5cdecd103b3146b21725b7p+1360,-0x1.e761e0f8b954e4ec796c4ef0cc90p+1360
0x1.2ba680c9e7bc2a266da0fd5794f7p+1368,0x1.4e3ee2927022ae0b90e5697e4de8p+1369
-0x1.862bd9baa244ce2f93590e24c1c6p+1377,0x1.6c8ffb537de4e5a9637170169640p+1373
0x1.f6ec11bffbb3739ea6d67fc2e3eep+1383,-0x1.8fbd9db0e8d21f4c66e0939585abp+1385
0x1.627b237748e9516f129b285f3d4dp+1393,0x1.17922927c13edc7d377d6aa7ab52p+1393
-0x1.a330d840cbb57f13bf1fff23d02ep+1401,0x1.f679850d302c3d188596ab4d2a35p+1400
-0x1.761c98eb654c71475127043edcbap+1407,-0x1.05a30232c56b85c80aa70ed7214dp+1410
0x1.1d70e42e4f66ad2b0dc33df399aap+1418,0x1.ae2aa1b5cda47b42d17feecdc034p+1415
-0x1.4d00544f36da103ab517858369aep+1425,0x1.100548e063bd2bee5430a0b0b811p+1426
-0x1.ae96ee206e70c8b20c63d4284509p+1433,-0x1.16480cc0869978cfe4f03902d615p+1434
0x1.7512a417fa0637acae0e0a9aa7c8p+1442,-0x1.c61eda2654f89deae53abf93cdb9p+1440
-0x1.d5b4b07036b305846b6a6210be13p+1446,0x1.b13d7c37d707986e9bf1ed95818fp+1450
-0x1.b967629062cb19ee5d5ee0ba1914p+1458,-0x1.95a5280fafb0ec7b035f67254a5bp+1457
0x1.8542952d609a8292b93de8d66de1p+1466,-0x1.7ec8de3d365b33d7388d24c675c1p+1466
0x1.efd833e4837e8fab7aa2e3052944p+1473,0x1.1a2885b260c952578caed5659295p+1475
