-0x1.0a7b9d3b3dceb8659f305a76f38cp-2,0x1.598a25fde632f278adb536e228b3p-4
0x1.5c818f548333fc1bc16d32dd99bbp+893,-0x1.a0b02a689955bd9c14f0e5126fe9p+891
0x1.1ee38286124cea57ed87be7b19b1p+899,-0x1.5276398aa556974f45f6b289b224p+897
0x1.da9122bfb3c8a32bb3967be92ce2p+904,-0x1.143018d6fd0d508121118a9304e2p+903
0x1.8a5c24a5a08800addb208e4ff939p+910,-0x1.c4cf07540d2e7fd9c874532afa93p+908
0x1.493ed75d2ee76a4ea599bc47d217p+916,-0x1.74e142dbc9b2c912e8288f6a8c3fp+914
0x1.142a50123ab8587daeb82900b023p+922,-0x1.34737603809e2bfa14b12cc164dfp+920
0x1.d16ff45c1de537525f5d312a5d1fp+927,-0x1.004dcfe259926165398246668d47p+926
0x1.8a071f1a413b0b5bef1713134fbap+933,-0x1.abda880a4f757aee60151fc96749p+931
0x1.4f1c104207586baf97ff8862b3f8p+939,-0x1.66b3f5087cfda62901787769286dp+937
0x1.1e4e9e27207c2275fbe50c8e016dp+945,-0x1.2e0f677f18b32bf74a2fc376a177p+943
0x1.eb746708cd161d55384fd13cd6fdp+950,-0x1.fef69db43535362b92748ca6a844p+948
0x1.a7b698283f25928566688057e81ap+956,-0x1.b21022f22db34e6a86fa04cc8a69p+954
0x1.6ef5cd54b96f73b8e607c586afbcp+962,-0x1.72574286bfd61fd2a10141394186p+960
0x1.3f3d0f7b01847c060ef174c7e44bp+968,-0x1.3d571dd12c7c909fec88696fc0b6p+966
0x1.16f77be24006183ba539efa11dc2p+974,-0x1.1118219b1d24251b7f529cd812a7p+972
0x1.e9b96c9732d8909f4619a6520404p+979,-0x1.d80b4f2d29192a0c40ad125e0e6cp+977
0x1.afc315852b403a5c7d761e2f616ep+985,-0x1.99b2d191a2b7ba38db1fa48ad751p+983
0x1.7e579ed4f99425b2d974870a68bcp+991,-0x1.6516d573fb04da1b2cd717e91e8ap+989
0x1.54119ca1b9053d19ec6e2a4d1e2dp+997,-0x1.388ac59d5c93993d20ef990527e2p+995
0x1.2fcb533d3109f0f9650ef42091b2p+1003,-0x1.12b1914e067f0f9d9bab4cf8eab0p+1001
0x1.109299794212b86bd42c06ae4ed5p+1009,-0x1.e4dbfb630de2b315f1656680e856p+1006
0x1.eb3e568b447adcbecc718a1f30f1p+1014,-0x1.adac726b6ffd0ba018b586f609b4p+1012
0x1.bc95d1a33df595b3e81d80347271p+1020,-0x1.7e53f7318cc5bf944a085bc63ed7p+1018
0x1.941736d526cd46ed26df31ad8867p+1026,-0x1.55954cef53e5ff8b9bd5ac6edabfp+1024
0x1.70dbdf6993b2feb82599c756f9d3p+1032,-0x1.3269f3067e709e32469dcbeffb02p+1030
0x1.5222cc5fa8cc4512adf913212d0ap+1038,-0x1.13f80b31eaf3a06ce51f25e9efaap+1036
0x1.374a10d240f6fd00ab8e65f6bc0fp+1044,-0x1.f314722bf14e96bd9476d6d78960p+1041
0x1.1fc9776c696f6ba9de83ee0f4c95p+1050,-0x1.c51226ec44002f42e83d459c7fbdp+1047
0x1.0b2e24f5f4ce882ada3896e03713p+1056,-0x1.9cebab213d2129f8d022131fc823p+1053
0x1.f22e0d95a3a33cac22207c51dcedp+1061,-0x1.79cc20d01a26c44105e406f6d657p+1059
0x1.d263cc34af5f8854190117df4080p+1067,-0x1.5b005276899adcfa0e38950792d5p+1065
0x1.b67201679df1d09aaff3053cb6a5p+1073,-0x1.3ff0f9e6363578e818449eeee977p+1071
0x1.9de21cc7c7f94eb223840e7da51bp+1079,-0x1.281e111e9fe81ba9a0e220aa744dp+1077
0x1.884f3db122f696d2a773c9ff274dp+1085,-0x1.131afa32b559609e445be2245f8dp+1083
0x1.75637fdd0cf1f6ef215a118597cfp+1091,-0x1.008b55835f3287d1fa6aba66ab84p+1089
0x1.64d5bed800367119bca37e048649p+1097,-0x1.e040cb5e30955d0c16f5bb2af888p+1094
0x1.5667bb5a1ee2d5d88688be4387dcp+1103,-0x1.c32dce0041fc754a91dfb13fe85bp+1100
0x1.49e4918c85e05ee15ecf76be0174p+1109,-0x1.a96a8a76aeb672d0671c5c81b4d3p+1106
0x1.3f1f727e85a114832ffb6d2ae5fcp+1115,-0x1.92943d823a712e8a33c9c725e894p+1112
0x1.35f295a7fd3468de8064c89c5fddp+1121,-0x1.7e560e5fe400880e76cd9cc554f5p+1118
0x1.2e3e5972056aa2d7d26c9938d45cp+1127,-0x1.6c66fca26b8ce8e996ca9681266bp+1124
0x1.27e88b76de81377b971fc2caee0cp+1133,-0x1.5c88245c4c305d139054f89e15e2p+1130
0x1.22dbd2924fa8f0751849f177e202p+1139,-0x1.4e8349b0c9044a55e3134bad7041p+1136
0x1.1f073604d46107228a836f142a6ep+1145,-0x1.42299f96b1e19427898a0b40048ap+1142
0x1.1c5dbde3478369d8618dbfe4817ep+1151,-0x1.3752bfc654f96d1f7e3aa00f6a83p+1148
