-0x1.59fe2d484e1af0cab9d1584abbc6p-2,0x1.177e8271e117a4281567ea0f7aa3p-5
0x1.dd40d9abca0c4636f019f84a7c6bp+345,-0x1.d13fbe8a7a81c78f877628ae8ff2p+346
0x1.4835833cb1af8db1359f4368cd93p+349,-0x1.3e66fd523610cf4e25171ebbe1d1p+350
0x1.c5fc45b77c59e57ffe09dd340737p+352,-0x1.b64c7ff345f20787bedabcaa3fd6p+353
0x1.3bc115ddefc3e9bfdb8cd134a592p+356,-0x1.2f627be82f703cdde30e25fdf3b5p+357
0x1.b9b0e4348ae28bcffa68afed7cb8p+359,-0x1.a65e8b863cdc14011519d8d1876cp+360
0x1.36a74f47c896ea28ed7d0a39f528p+363,-0x1.27a8f5e84f206052bcdc1aea3314p+364
0x1.b768bd8d4a8dc85b59f84446b628p+366,-0x1.a03cac44a5bef5d2a9a0c1196b07p+367
0x1.387b1de0a381e88d1b001a30f3e3p+370,-0x1.269ee4c31096ef83b1bd4d16c620p+371
0x1.bee0182aa8256fe217aee6051874p+373,-0x1.a36111496ea5139360036f62ece5p+374
0x1.4147e3c7e70a0decc2ee12831471p+377,-0x1.2c1f559482f5f95d9338b0884d21p+378
0x1.d07a8a158fe34bd80632abe3a2a8p+380,-0x1.afe6d16df45483ce93f0f72b9355p+381
0x1.51907bcdebbba9f3672e2e2f3895p+384,-0x1.38758c8fd955252abcb343ad4131p+385
0x1.ed4af34fd7ace3aacf70efec2e6ap+387,-0x1.c689eef867faa82cc90e44e5d263p+388
0x1.6a5b9ebffebb842e08c47bed8e20p+391,-0x1.4c63516ec11e48a0dc9e55d7f959p+392
0x1.0b9790e1398bd653215ab0316e08p+395,-0x1.e8b95f790a92ff70662e9f7d686bp+395
0x1.8d4f40f7cfbe1ff2967f0c5c6435p+398,-0x1.69348c7b7905a16bd3267e626a20p+399
0x1.28817b1389fde7e80b2b2d572f08p+402,-0x1.0c5eb9bd7d540bef15dcb5579c55p+403
0x1.bcdedd27322d7b71e614f4ba799bp+405,-0x1.90e2f35958adb0230fd231e20b51p+406
0x1.4f79525e5124f6ced4aebf5af44dp+409,-0x1.2cfc195b7968d25f994fde5d6bb7p+410
0x1.fc93b90244713c6dda9ae587d26bp+412,-0x1.c64f1903391b04cb69d69bfe42c2p+413
0x1.837c70b8cbd9583e4c773121376dp+416,-0x1.58a4c190ecd0be20b79f1f57eecep+417
0x1.28bd535c5efcef0ef5baaa7ebe34p+420,-0x1.06cbe64b05a7203394e00dad341dp+421
0x1.c8cec39011e96a842d858ce033cbp+423,-0x1.92d38ef6a472a22e7362435a2f25p+424
0x1.6164c8ee0e2e2c1b02f7e01542fdp+427,-0x1.364f08beec0f22285dd192df139fp+428
0x1.12c552ba4f73563712d9d6d4a79fp+431,-0x1.e080e201d6d26c04b674a4b231e4p+431
0x1.ad6ce864d20ffefcce2a0ce70ec1p+434,-0x1.75e6293a954a676ac6fef9f331d4p+435
0x1.513d85ba5cae7ddac476ed09f101p+438,-0x1.2467fdef986c83eb391d9c38aabap+439
0x1.0a2950d718299a4c9688b935c27fp+442,-0x1.cba257a7a0fe863771c3bfcd471cp+442
0x1.a63495a25cfed4220b9b23d9ed5ap+445,-0x1.6b0b905e4c8db88309e436a07ae3p+446
0x1.5083fd70ecdc6d97cd92c18876d0p+449,-0x1.202be8e30f4a5a7c16cd66174a07p+450
0x1.0d87f2c784cd38caa9c246f0c048p+453,-0x1.cbbae5a55a004d1ff5df61a65420p+453
0x1.b1dd5cdb604b69d190b7383431c5p+456,-0x1.7081cb8cd8fd49372f77e85b3e93p+457
0x1.5ee3f2aa19016ad9cb6b96fcb2ddp+460,-0x1.28d2fc186bf67835710ea563a3e4p+461
0x1.1d278efbf6d3ff6c3825ee5eeeb1p+464,-0x1.e07d172038853d423865fd1ef448p+464
0x1.d1b1a38e400c83f9dd9ef966a079p+467,-0x1.86c6815a333c7d0b421a751eee1cp+468
0x1.7e164ff98fedd654b69b50e30f88p+471,-0x1.3f56b33d60c6fe194ccad4034da0p+472
0x1.3afb75a707a8b2ae45cd05266e6cp+475,-0x1.063542bf5733a4926aafd88fe9d7p+476
0x1.04e48283f9407bc60142440b8db3p+479,-0x1.b0a4e99b614bbdbacc2822b017dcp+479
0x1.b23853e16a0e24be2b91e4fb7effp+482,-0x1.669f1a83e03e67708f6a20471a39p+483
0x1.6b0b94c1944f42398e25a23358d9p+486,-0x1.2aa9f2cfb74d7795d90316d80a13p+487
0x1.30f457aa80eed6dc0795a32ecd92p+490,-0x1.f3cb0fc2c97aca1576b731ac958dp+490
0x1.0159747cc0417d21164aa5b86fc9p+494,-0x1.a422ceaf0f9a1c25eadbf12c11b5p+494
0x1.b45c77142990644f6639443b5acdp+497,-0x1.62d09a7ee4d594439d622fd70d7ep+498
0x1.73a67ae0afc6c5ad115967ed8970p+501,-0x1.2d08eedd3527325e68204132773bp+502
0x1.3dfca5f078cdd25d772215036f0bp+505,-0x1.0094ed714e400f63b4295541c1a1p+506
0x1.115049fdc58f538921cbd870787cp+509,-0x1.b763a468d7dbf5bd41c49c206eadp+509
0x1.d7f7916a543b11f65d191787b3f3p+512,-0x1.79efb7fc3afb9a1b5f5936871bbep+513
0x1.9958d2f495acc5e72816a1a988bap+516,-0x1.468dc54ae2efce3e264a4211e22ap+517
0x1.64a22ddb456c78353d4971c12734p+520,-0x1.1b6e888d211e626617cfc961e236p+521
0x1.3819c4f002392db80e5ed23126b6p+524,-0x1.ee389b66daafde2145cdb4df8708p+524
0x1.1258e2fd4e96751a1fce5b453d80p+528,-0x1.b0d1273ef078fab1591177515d67p+528
0x1.e476b05675d46e4e43e05215f628p+531,-0x1.7cbb494dffff6e4c68926c324c46p+532
0x1.ada4b1b98a5aaec7171d84499ed9p+535,-0x1.5066808965905cc024e06eb7b477p+536
0x1.7eb4306b156ae7f8de088a2c1373p+539,-0x1.2a8b4e7189e23b7c2d34ee175931p+540
0x1.56630bab199f9573bf36360cec76p+543,-0x1.0a1d07983b4c4fbb95557aaae0f0p+544
0x1.33a771ddfd463d55bdf978a37e1cp+547,-0x1.dc7d1aa28776d9e9665cd0ff90a0p+547
0x1.15a55a9b558e07e9b5c0028402cfp+551,-0x1.ac72a0b4edc395e898419134ef22p+551
0x1.f74c2cca70be15802671b3c619b1p+554,-0x1.82ec40597926a6b3bfddaa0090ecp+555
0x1.ca230a13033806803ec1597ab00dp+558,-0x1.5eeecc6888b88af7702cb59d5c62p+559
0x1.a2d13795fe53f7d7860d885f92a3p+562,-0x1.3fa902c890cefcd746b804143ef4p+563
0x1.8081ee3798ff4bf05cfe2da6ce7cp+566,-0x1.246c0df9423f8a876adfe220c1cfp+567
0x1.62828463c4431db8fa61ac5a0450p+570,-0x1.0ca574107cda145311edeab8d03bp+571
0x1.483c9414203a2619600d5ece0c9cp+574,-0x1.efb453dfa9462bc562ebbf388716p+574
0x1.313134809b3872ed40fc181c1fdfp+578,-0x1.cb4521afae24a59fb558bd83b898p+578
