-0x1.3688091c8b685d407129cb3f412dp-2,0x1.fa2c6c879b0790273dc73efde1cep-5
0x1.1376239425c6c53617ae2188059ap+443,-0x1.45c8a0aac953bbaba555f14d1c93p+443
0x1.54046692ca26297b75c9cb027ab3p+447,-0x1.8fd5b6280fa26444813e1364e695p+447
0x1.a65b320c0284f7b737e93c4cd402p+451,-0x1.edd52bbda93c16fd96e800281704p+451
0x1.07f74511aa0df843738a72f59540p+456,-0x1.32e34bff822873a711c1208498fdp+456
0x1.4c027686bbde9901fd5d1ce85d28p+460,-0x1.7fd0e93b5690aabb149b351d2336p+460
0x1.a42f66f3327af4d37627d3af8fb5p+464,-0x1.e3048fdd6a64d8ee2b90d2f4700fp+464
0x1.0b87838c472cfaf190b9475e99c5p+469,-0x1.31cf9c33c66798d01ef6533d5260p+469
0x1.56c1d33bbf347e189a00a1575c89p+473,-0x1.859d9ab67dceb1b0e173abb8255ep+473
0x1.b9d0764c5bbf50901072d6d8c15ap+477,-0x1.f36bc6ca78c851d33964cb5dd124p+477
0x1.1e795d675fd63df21459268617fdp+482,-0x1.42080a32f9646cea0c1abcf24e28p+482
0x1.75bcf7712ed16b8275fd6d3611a5p+486,-0x1.a1ce5acdf51443dfbf15e081ebaap+486
0x1.ea806f19deda0d2c0139ccc416d0p+490,-0x1.10a8d5ffe029a62293f3f940d8b4p+491
0x1.43c96f32eff7a7226a0c3d740805p+495,-0x1.65ff734faaa29be4af3bbca728fap+495
0x1.adfff7bf0e725d5f4230486180dfp+499,-0x1.d8d58153fac70d9c33cb4554e116p+499
0x1.1f34a07091e930b82e2bf6acfdbfp+504,-0x1.3a18318a76e7807c9a6466e73fd2p+504
0x1.81e7203779f04bbec43b97c6e058p+508,-0x1.a3bd6fb2f810651efd4593223096p+508
0x1.04c3caee3e0aff7721238eb796c6p+513,-0x1.1a18130ae9d9b552b65f34ea3f71p+513
0x1.6272751743154c48ecb222dad435p+517,-0x1.7d5eb0e322ca38eb788477c88735p+517
0x1.e48d789672e0729c806c7f842169p+521,-0x1.0346cff70b4bc6e582469e927ab3p+522
0x1.4d195b45caf73de39af0d91b8c9bp+526,-0x1.628f8119e22b613260de67e8a599p+526
